index	task_id	phase	arm_id	seed	panel	prior	allocation	quota	curvature	physical_time	attribution	mod	schedule	role	config_path	work_dir	primary_candidate	confirmation
10	development_c11_seed3407	development	C11	3407	phase_x_physical_time	semantic	robust_phase	adaptive	False	True	baseline	False	default_20_20_20	physical_time_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_c11_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_c11_seed3407	False	False
11	development_d1_seed3407	development	D1	3407	attribution	semantic	robust_phase	adaptive	False	False	signed_feature_taylor	False	default_20_20_20	attribution_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_d1_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_d1_seed3407	False	False
12	development_e01_seed3407	development	E01	3407	physical_time_x_mod	semantic	robust_phase	adaptive	False	False	baseline	True	default_20_20_20	efficiency_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_e01_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_e01_seed3407	False	False
13	development_e11_seed3407	development	E11	3407	physical_time_x_mod	semantic	robust_phase	adaptive	False	True	baseline	True	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_e11_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_e11_seed3407	False	False
14	development_f11_seed3407	development	F11	3407	attribution_x_mod	semantic	robust_phase	adaptive	False	False	signed_feature_taylor	True	default_20_20_20	efficiency_plus_attribution_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_f11_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_f11_seed3407	False	False
15	development_g10_seed3407	development	G10	3407	schedule_x_selector	semantic	h65_original_retention_transition	h65_original	False	False	baseline	False	alternate_15_20_25		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_g10_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_g10_seed3407	False	False
16	development_g11_seed3407	development	G11	3407	schedule_x_selector	semantic	robust_phase	adaptive	False	False	baseline	False	alternate_15_20_25		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_g11_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_g11_seed3407	False	False
17	confirmation_u0_seed4407	confirmation	U0	4407	anchors	none	exact_uniform	none	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_u0_seed4407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_u0_seed4407	False	True
18	confirmation_h0_seed4407	confirmation	H0	4407	anchors	semantic	h65_original_retention_transition	h65_original	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_h0_seed4407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_h0_seed4407	False	True
19	confirmation_a10_seed4407	confirmation	A10	4407	prior_x_allocation	semantic	legacy_dual_phase	legacy	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_a10_seed4407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_a10_seed4407	False	True
20	confirmation_a11_seed4407	confirmation	A11	4407	prior_x_allocation	semantic	robust_phase	adaptive	False	False	baseline	False	default_20_20_20	primary_dense_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_a11_seed4407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_a11_seed4407	True	True
21	confirmation_c11_seed4407	confirmation	C11	4407	phase_x_physical_time	semantic	robust_phase	adaptive	False	True	baseline	False	default_20_20_20	physical_time_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_c11_seed4407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_c11_seed4407	False	True
22	confirmation_d1_seed4407	confirmation	D1	4407	attribution	semantic	robust_phase	adaptive	False	False	signed_feature_taylor	False	default_20_20_20	attribution_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_d1_seed4407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_d1_seed4407	False	True
23	confirmation_e01_seed4407	confirmation	E01	4407	physical_time_x_mod	semantic	robust_phase	adaptive	False	False	baseline	True	default_20_20_20	efficiency_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_e01_seed4407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_e01_seed4407	False	True
24	confirmation_f11_seed4407	confirmation	F11	4407	attribution_x_mod	semantic	robust_phase	adaptive	False	False	signed_feature_taylor	True	default_20_20_20	efficiency_plus_attribution_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_f11_seed4407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_f11_seed4407	False	True
25	confirmation_u0_seed5407	confirmation	U0	5407	anchors	none	exact_uniform	none	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_u0_seed5407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_u0_seed5407	False	True
26	confirmation_h0_seed5407	confirmation	H0	5407	anchors	semantic	h65_original_retention_transition	h65_original	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_h0_seed5407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_h0_seed5407	False	True
27	confirmation_a10_seed5407	confirmation	A10	5407	prior_x_allocation	semantic	legacy_dual_phase	legacy	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_a10_seed5407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_a10_seed5407	False	True
28	confirmation_a11_seed5407	confirmation	A11	5407	prior_x_allocation	semantic	robust_phase	adaptive	False	False	baseline	False	default_20_20_20	primary_dense_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_a11_seed5407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_a11_seed5407	True	True
29	confirmation_c11_seed5407	confirmation	C11	5407	phase_x_physical_time	semantic	robust_phase	adaptive	False	True	baseline	False	default_20_20_20	physical_time_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_c11_seed5407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_c11_seed5407	False	True
30	confirmation_d1_seed5407	confirmation	D1	5407	attribution	semantic	robust_phase	adaptive	False	False	signed_feature_taylor	False	default_20_20_20	attribution_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_d1_seed5407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_d1_seed5407	False	True
31	confirmation_e01_seed5407	confirmation	E01	5407	physical_time_x_mod	semantic	robust_phase	adaptive	False	False	baseline	True	default_20_20_20	efficiency_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_e01_seed5407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_e01_seed5407	False	True
32	confirmation_f11_seed5407	confirmation	F11	5407	attribution_x_mod	semantic	robust_phase	adaptive	False	False	signed_feature_taylor	True	default_20_20_20	efficiency_plus_attribution_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_f11_seed5407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_f11_seed5407	False	True
33	confirmation_u0_seed6407	confirmation	U0	6407	anchors	none	exact_uniform	none	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_u0_seed6407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_u0_seed6407	False	True
34	confirmation_h0_seed6407	confirmation	H0	6407	anchors	semantic	h65_original_retention_transition	h65_original	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_h0_seed6407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_h0_seed6407	False	True
35	confirmation_a10_seed6407	confirmation	A10	6407	prior_x_allocation	semantic	legacy_dual_phase	legacy	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_a10_seed6407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_a10_seed6407	False	True
36	confirmation_a11_seed6407	confirmation	A11	6407	prior_x_allocation	semantic	robust_phase	adaptive	False	False	baseline	False	default_20_20_20	primary_dense_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_a11_seed6407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_a11_seed6407	True	True
37	confirmation_c11_seed6407	confirmation	C11	6407	phase_x_physical_time	semantic	robust_phase	adaptive	False	True	baseline	False	default_20_20_20	physical_time_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_c11_seed6407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_c11_seed6407	False	True
38	confirmation_d1_seed6407	confirmation	D1	6407	attribution	semantic	robust_phase	adaptive	False	False	signed_feature_taylor	False	default_20_20_20	attribution_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_d1_seed6407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_d1_seed6407	False	True
39	confirmation_e01_seed6407	confirmation	E01	6407	physical_time_x_mod	semantic	robust_phase	adaptive	False	False	baseline	True	default_20_20_20	efficiency_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_e01_seed6407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_e01_seed6407	False	True
40	confirmation_f11_seed6407	confirmation	F11	6407	attribution_x_mod	semantic	robust_phase	adaptive	False	False	signed_feature_taylor	True	default_20_20_20	efficiency_plus_attribution_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_confirmation_f11_seed6407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/confirmation_f11_seed6407	False	True
